Book_Title,Book_Author,Year_Of_Publication,Publisher,Book_Rating,label
Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books,0,2
Cold Blooded,Lisa Jackson,2002,Zebra Books,0,2
Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,0,2
The Grapes of Wrath,John Steinbeck,1976,Penguin USA,0,2
Kiss the Girls,James Patterson,1995,Warner Books,0,2
Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,0,2
Mother of Pearl,Melinda Haynes,1999,Hyperion,0,2
"Valley of the Horses (Auel, Jean M. , Earth's Children.)",Jean M. Auel,1983,Bantam Doubleday Dell,0,2
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,0,2
Cold Sassy Tree,Olive Ann Burns,1986,Delta,0,2
Notes from a Small Island,Bill Bryson,1997,Perennial,0,2
East of the Mountains,David Guterson,1999,Harcourt,0,2
L Is for Lawless (Kinsey Millhone Mysteries),Sue Grafton,1995,Henry Holt &amp; Company,0,2
"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown,0,2
CAT'S EYE,MARGARET ATWOOD,1989,Bantam,0,2
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam,0,2
Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books,0,2
You Belong To Me,Mary Higgins Clark,1999,Pocket Books,0,0
Embraced by the Light,Betty J. Eadie,1994,Bantam Books,0,2
Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,0,2
"Cry, the Beloved Country (Oprah's Book Club)",Alan Paton,2003,Scribner,0,2
Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group,0,1
Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987,Plume Books,0,2
To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,0,2
Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books,0,4
Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications,0,2
The Autobiography of Malcolm X,Malcolm X,1989,Ballantine Books,0,4
Hornet's Nest,Patricia Daniels Cornwell,1997,Putnam Publishing Group,0,1
Animal Dreams,Barbara Kingsolver,1991,Perennial,0,2
A Fine Balance,Rohinton Mistry,2001,Vintage Books USA,0,2
Lucky,Alice Sebold,1999,Scribner,9,2
Cane River,Lalita Tademy,2001,Warner Books,8,2
Seduction in Death,J. D. Robb,2001,Berkley Publishing Group,0,1
Deadly Decisions,Kathy Reichs,2001,Pocket Books,0,0
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey,0,2
Watermelon,Marian Keyes,2002,Perennial,0,2
Animal Husbandry,Laura Zigman,2001,Delta,0,2
Ella Minnow Pea: A Novel in Letters,Mark Dunn,2002,Anchor Books/Doubleday,8,2
Fat Tuesday,Sandra Brown,1998,Warner Vision,0,2
Cane River (Oprah's Book Club (Paperback)),Lalita Tademy,2002,Warner Books,0,2
Shopgirl : A Novella,Steve Martin,2000,Hyperion Press,0,2
A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications,0,2
The Sixteen Pleasures: A Novel,Robert Hellenga,1995,Delta,0,2
"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2002,Penguin Books,0,2
High Fidelity,Nick Hornby,1996,Riverhead Books,0,2
Endangered Species (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1998,Avon,0,2
The Girls' Guide to Hunting and Fishing,Melissa Bank,1999,Viking Books,0,2
The Rapture of Canaan,Sheri Reynolds,1997,Berkley Publishing Group,0,1
What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial,0,2
Sea Glass: A Novel,Anita Shreve,2002,"Little, Brown",0,2
Black and Blue : A Novel,ANNA QUINDLEN,1998,Random House,0,2
Open House,Elizabeth Berg,2000,Random House Trade,0,2
Grand Avenue,Joy Fielding,2002,Pocket Star,0,0
Crocodile on the Sandbank,Elizabeth Peters,1988,Warner Books,0,2
If I'd Killed Him When I Met Him (Elizabeth MacPherson Novels (Paperback)),SHARYN MCCRUMB,1996,Fawcett,0,2
Shell Seekers,Rosamunde Pilcher,1996,Dell,0,2
Pop Goes the Weasel,James Patterson,1999,Replica Books,0,2
Death du Jour,Kathy Reichs,1999,Scribner,0,2
Rubyfruit Jungle,Rita Mae Brown,1983,Bantam Books,7,2
M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1996,Henry Holt &amp; Company,0,2
Big Stone Gap,Adriana Trigiani,2003,Fawcett Books,0,2
Hiroshima,John Hersey,1989,Vintage Books USA,0,2
Time Flies,BILL COSBY,1988,Bantam,0,2
"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995,Wildcat Canyon Press,0,2
The Chosen,Chaim Potok,1995,Fawcett Books,0,2
A Son of the Circus,John Irving,1995,Ballantine Books,0,4
A Short Guide to a Happy Life,ANNA QUINDLEN,2000,Random House,7,2
Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons,0,2
Envy,Sandra Brown,2002,Warner Books,0,2
Story of O,Pauline Reage,1989,Ballantine Books,0,4
Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES,1996,Ballantine Books,0,4
Portrait in Death,Nora Roberts,2003,Berkley Publishing Group,0,1
The Blind Assassin,Margaret Atwood,2001,Anchor Books/Doubleday,0,2
Silent Treatment,Michael Palmer,1996,Bantam Books,0,2
Straight Man : A Novel (Vintage Contemporaries),RICHARD RUSSO,1998,Vintage,0,2
Numbered Account,CHRISTOPHER REICH,1998,Dell,0,2
Geek Love,Katherine Dunn,1993,Warner Books,0,2
The Grilling Season,Diane Mott Davidson,1998,Bantam Books,0,2
Tough Cookie,Diane Mott Davidson,2001,Bantam Books,0,2
The Woman Warrior : Memoirs of a Girlhood Among Ghosts,MAXINE HONG KINGSTON,1989,Vintage,0,2
The Hundred Secret Senses,Amy Tan,1996,Ivy Books,0,2
Unnatural Exposure,Patricia Daniels Cornwell,1997,Putnam Pub Group,0,2
Exclusive,Sandra Brown,1997,Warner Books,0,2
The Color Purple,Alice Walker,1990,Pocket,0,0
The Deep End of the Ocean (Oprah's Book Club (Hardcover)),Jacquelyn Mitchard,1996,Penguin USA,5,2
A Theory of Relativity,Jacquelyn Mitchard,2002,HarperTorch,0,2
Jemima J,Jane Green,0,Penguin Putnam~trade,8,2
It's My F---ing Birthday : A Novel,MERRILL MARKOE,2002,Villard,0,2
Child of My Heart,Alice McDermott,2002,Farrar Straus &amp; Giroux,0,2
Moo,Jane Smiley,1996,Ballantine Books,0,4
In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley,1994,Alfred A. Knopf,0,2
Fingersmith,Sarah Waters,2002,Riverhead Books,0,2
No Second  Chance,Harlan Coben,2003,Dutton Books,0,2
"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,2000,Hyperion,0,2
Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs,2002,Scribner,0,2
Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books,0,2
The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group,0,1
Obasan,Joy Kogawa,1983,Penguin Books,0,2
Show of Evil,William Diehl,1996,Ballantine Books,0,4
The Other Daughter,LISA GARDNER,1999,Bantam,0,2
A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,1993,Pocket,0,0
"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",Allison Pearson,2002,Alfred A. Knopf,0,2
Strange Highways,Dean Koontz,1996,Warner Books,0,2
Gates of Paradise,V.C. Andrews,1989,Pocket,0,0
Their Eyes Were Watching God,Zora Neale Hurston,1998,Perennial,9,2
Vittorio the Vampire: New Tales of the Vampires,Anne Rice,1999,Alfred A. Knopf,0,2
The Road to Omaha,Robert Ludlum,1993,Bantam Books,0,2
The Fourth Hand,JOHN IRVING,2001,Random House,0,2
Finding Moon,Tony Hillerman,1996,HarperTorch,0,2
"Morning, Noon &amp; Night",Sidney Sheldon,1996,Warner Books,0,2
The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty),Rice Anne,1999,Plume Books,0,2
That Camden Summer,Lavyrle Spencer,1997,Jove Books,0,2
Where Are the Children?,Mary Higgins Clark,1992,Pocket,0,0
A Heartbreaking Work Of Staggering Genius : A Memoir Based on a True Story,Dave Eggers,2000,Simon &amp; Schuster,0,2
The Pull of the Moon,Elizabeth Berg,1997,Jove Books,0,2
The Mark: The Beast Rules the World (Left Behind #8),Tim LaHaye,2000,Tyndale House Publishers,0,2
The Mammoth Hunters (Earth's Children (Paperback)),JEAN M. AUEL,1986,Bantam,0,2
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,0,2
Go Ask Alice,Anonymous,1998,Simon Pulse,0,2
Stargirl,JERRY SPINELLI,2002,Knopf Books for Young Readers,0,2
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,0,2
No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books,0,4
Dark Lady,Richard North Patterson,2000,Ballantine Books,0,4
The Devil's Teardrop,Jeffery Deaver,2000,Pocket,0,0
All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,0,2
Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,0,2
The Lion's Game,Nelson DeMille,2000,Warner Books,0,2
Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books,0,4
The Horse Whisperer,Nicholas Evans,1996,Dell,0,2
Night,Elie Wiesel,1982,Bantam Books,0,2
Timeline,MICHAEL CRICHTON,2000,Ballantine Books,0,4
The Prometheus Deception,Robert Ludlum,2001,St. Martin's Press,0,2
This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,0,2
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,0,2
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,0,2
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,0,5
The Stranger,ALBERT CAMUS,1989,Vintage,0,2
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch,0,2
Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications,0,2
FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket,0,0
Jurassic Park,Michael Crichton,1999,Ballantine Books,0,4
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,0,2
The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket,0,0
Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books,0,2
Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,0,2
4 Blondes,Candace Bushnell,2002,Signet Book,0,3
The Empty Chair,Jeffery Deaver,2001,Pocket,0,0
Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group,0,1
The Lord of the Rings (Movie Art Cover),J.R.R. Tolkien,2001,Houghton Mifflin Company,0,2
The Regulators,Stephen King,2002,Signet Book,0,3
Sein Language,JERRY SEINFELD,1993,Bantam,8,2
Lake Wobegon days,Garrison Keillor,1986,Penguin Books,0,2
Merrick (Vampire/Witches Chronicles),Anne Rice,2001,Ballantine Books,0,4
Vector,Robin Cook,2000,Berkley Publishing Group,0,1
The Partner,John Grisham,1998,Dell Publishing Company,0,2
Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,0,2
Congo,Michael Crichton,1995,Ballantine Books,0,4
Lake Wobegon Days,Garrison Keillor,1985,Penguin USA,8,2
Breakfast of Champions,Kurt Vonnegut,1991,Dell Publishing Company,5,2
The Hunt for Red October,Tom Clancy,1985,Berkley Publishing Group,9,1
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,0,2
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador,0,2
The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group,7,1
Name of the Rose-Nla,Umberto Eco,1984,Warner Books,8,2
Prey,Michael Crichton,2003,Avon Books,0,4
Koko,Peter Straub,1995,Signet Book,9,3
Sphere,MICHAEL CRICHTON,1988,Ballantine Books,8,4
The Lost World,Michael Crichton,1996,Ballantine Books,8,4
Fatal Cure,Robin Cook,1997,Berkley Publishing Group,0,1
Chosen Prey,John Sandford,2004,Berkley Publishing Group,0,1
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,0,2
From the Corner of His Eye,Dean Koontz,2001,Bantam Books,0,2
The Cove,Catherine Coulter,1996,Jove Books,8,2
The House of the Spirits,Isabel Allende,1986,Bantam Books,0,2
Jitterbug Perfume,TOM ROBBINS,1990,Bantam,10,2
Mutation,Robin Cook,1991,Berkley Publishing Group,7,1
Midnight's Children,Salman Rushdie,1995,Penguin Books,0,2
My Dream of You,Nuala O'Faolain,2002,Riverhead Books,7,2
From a Buick 8,Stephen King,2003,Pocket Books,8,3
Julie and Romeo: A Novel,Jeanne Ray,2001,Onyx Books,8,2
The Undertaker's Widow,Phillip Margolin,1999,Bantam Books,0,2
Disclosure,Michael Crichton,1994,Alfred A. Knopf,8,2
The Fallen Man (Joe Leaphorn Novels),Tony Hillerman,1997,HarperTorch,0,2
All Around the Town,Mary Higgins Clark,1993,Pocket Star,0,0
Reap the Wind,Iris Johansen,2002,Bantam Books,0,2
Unspeakable,Sandra Brown,1999,Warner Books,0,2
The Edge,Catherine Coulter,2000,Jove Books,0,2
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,0,5
Long After Midnight,IRIS JOHANSEN,1997,Bantam,0,2
Safe Harbor,Luanne Rice,2003,Bantam Books,0,2
"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin,0,2
I'll Take Manhattan,Judith Krantz,1987,Bantam Books,0,2
Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books,0,5
The Playboy,Carly Phillips,2003,Warner Forever,0,2
Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,0,5
Born in Shame,Nora Roberts,1996,Jove Books,0,5
Drums of Autumn,DIANA GABALDON,1997,Dell,0,2
Irish Hearts,Nora Roberts,2000,Silhouette,0,5
Nerd in Shining Armor,Vicki Lewis Thompson,2003,Dell Publishing Company,0,2
Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,Jove Books,0,5
River's End,Nora Roberts,2003,Jove Books,0,5
Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books,0,5
Follow the Stars Home,Luanne Rice,2001,Bantam Books,0,2
Night Whispers,Judith McNaught,1999,Pocket,0,0
Final Target,Iris Johansen,2002,Bantam Books,0,2
Table For Two,Nora Roberts,2002,Silhouette,0,5
Bitter Sweet,LaVyrle Spencer,1995,Jove Books,0,2
Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,0,5
Cry Wolf,TAMI HOAG,1993,Bantam,0,2
The Ugly Duckling,Iris Johansen,1997,Bantam Books,0,2
Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,0,2
Touching Evil,Kay Hooper,2001,Bantam Books,0,2
She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,2002,Avon,0,2
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,0,2
Time And Again,Nora Roberts,2001,Silhouette,0,5
"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket,0,0
A Civil Action,JONATHAN HARR,1996,Vintage,0,2
He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket,5,0
The Maze,Catherine Coulter,1998,Jove Books,0,2
Carnal Innocence,Nora Roberts,1992,Bantam Books,0,5
Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf,0,2
Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,0,2
The Gift,DANIELLE STEEL,1996,Dell,0,6
Dating Without Novocaine (Red Dress Ink),Lisa Cach,2002,Red Dress Ink,0,2
Macgregor Brides (Macgregors),Nora Roberts,1997,Silhouette,0,5
Malice,DANIELLE STEEL,1997,Dell,0,6
Open Season,Linda Howard,2002,Pocket,10,0
Heartbreaker,Julie Garwood,2001,Pocket,0,0
Fast Women,Jennifer Crusie,2002,St. Martin's Press,0,2
Plain Jane,Fern Michaels,2002,Zebra Books,0,2
The Target,Catherine Coulter,1999,Jove Books,0,2
Voyager,DIANA GABALDON,1994,Dell,0,2
Faking It,Jennifer Crusie,2002,St. Martin's Press,0,2
Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics,0,2
Summer Pleasures,Nora Roberts,2002,Silhouette,0,5
Now You See Her,Linda Howard,1999,Pocket Books,7,0
Bloody Bones (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2001,ACE Charter,0,2
Riptide,Catherine Coulter,2001,Jove Books,5,2
False Pretenses,Catherine Coulter,2004,Signet Book,0,3
Macgregor Grooms (Macgregors),Nora Roberts,1998,Silhouette,0,5
Where You Belong,Barbara Taylor Bradford,2000,Dell Publishing Company,0,2
Born in Ice,Nora Roberts,1996,Berkley Publishing Group,0,1
The Perfect Summer,Luanne Rice,2003,Bantam Books,0,2
Daring to Dream,Nora Roberts,1996,Jove Books,0,5
Distant Shores,Kristin Hannah,2003,Ballantine Books,0,4
"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,0,2
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,7,2
Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,Chronicle Books,9,2
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,0,2
Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,0,2
Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,0,2
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,0,2
Angels &amp; Demons,Dan Brown,2001,Pocket Star,0,0
The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,0,2
The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,0,2
Alias Grace,Margaret Atwood,1996,Nan A. Talese,0,2
The Lovely Bones,Alice Sebold,2004,Back Bay Books,0,2
Sula,Toni Morrison,2002,Plume Books,0,2
Mutant Message Down Under,Marlo Morgan,1995,Perennial,0,2
The God of Small Things,Arundhati Roy,1998,Perennial,10,2
Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,0,2
The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,0,1
Foucault's Pendulum,Umberto Eco,1990,Ballantine Books,0,4
The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,8,2
Xenocide (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,0,2
Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,8,2
The Martian Chronicles,RAY BRADBURY,1984,Spectra,0,2
stardust,Neil Gaiman,2001,Perennial,0,2
Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,0,2
Eva Luna,Isabel Allende,1989,Bantam Books,0,2
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey,0,2
The Forest House,Marion Zimmer Bradley,1995,Roc,0,2
A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books,0,2
Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square,0,2
Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor,0,2
The Flanders Panel,ARTURO PEREZ-REVERTE,1996,Bantam,0,2
The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,8,2
Succulent Wild Woman,Sark,1997,Fireside,0,2
Mrs Dalloway,Virginia Woolf,1990,Harvest Books,0,2
Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,0,2
The Tenth Insight : Holding the Vision,James Redfield,1996,Warner Books,0,2
The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,1992,Jeremy P. Tarcher,0,2
Einstein's Dreams,Alan Lightman,1994,Warner Books,0,2
I Capture the Castle,Dodie Smith,1999,St. Martin's Griffin,0,2
Cheet (Plume Books),Anna Davis,2003,Plume Books,0,2
Don't Let's Go to the Dogs Tonight : An African Childhood,ALEXANDRA FULLER,2003,Random House Trade Paperbacks,8,2
Mortal Prey,John Sandford,2002,Putnam Publishing Group,9,1
Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster,9,0
Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,9,2
Trading Places,Fern Michaels,2003,Pocket Star,9,0
The Last Juror,John Grisham,2004,Doubleday,10,2
Split Second,David Baldacci,2003,Warner Books,8,2
The Second Time Around : A Novel,Mary Higgins Clark,2003,Simon &amp; Schuster,9,0
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books,10,5
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns,10,5
The Guardian,Nicholas Sparks,2003,Warner Books,9,2
Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group,9,1
Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,10,1
Last Man Standing,David Baldacci,2001,Warner Books,8,2
The Penwyth Curse,Catherine Coulter,2004,Jove Books,9,2
16 Lighthouse Road,Debbie Macomber,2001,Mira,8,2
204 Rosewood Lane,Debbie Macomber,2002,Mira,8,2
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,9,5
Reunion in Death,J. D. Robb,2002,Berkley Publishing Group,8,1
True Blue,Luanne Rice,2002,Bantam Books,8,2
Doing Good,Pamela Morsi,2002,Mira Books,9,2
